,original_triple,SubjectCQ_x,PropertyCQ_x,ObjectCQ_x,Theme_x,Verbalisation,SubjectCQ_y,PropertyCQ_y,ObjectCQ_y,Theme_y
1669,Akihiko Hoshide's name in the native language is 星出彰彦.,What is the name of the Japanese actor who is known by his Japanese name?,What is Akihiko Hoshide's name in the native language?,What is Akihiko Hoshide's name in his native language?,Astronaut,An astronaut's name in the native language is 星出彰彦. ,Whose name in the An astronaut's name in the language is 星出彰彦? ,What is the relationship between an astronaut and 星出彰彦? ,What is an astronaut's name in a native language?,Astronaut
1670,Alexander Gerst has 1240340 followers on social media.,Who has 1240340 followers on social media?,How many followers does Alexander Gerst have?,How many followers does Alexander Gerst have on social media?,Astronaut,A person has a number of followers on social media.,What person has a number of followers in social media?,What is the relation between a person and a number of followers on social media?,How many followers does a person have on social media?,Astronaut
1671,Alexander Gerst has 1240340 followers on social media.,Who has 1240340 followers on social media?,How many followers does Alexander Gerst have?,How many followers does Alexander Gerst have on social media?,Astronaut,An astronaut has 1240340 followers on social media.,Who has 1240340 followers on social media?,What is the relationship between an astronaut and 1240340?,How many followers has an astronaut on social media?,Astronaut
1672,André Kuipers is a member of the crew of the Soyuz TMA-03M.,Who is a member of the crew of the Soyuz TMA-03M?,What is André Kuipers' job title?,What is André Kuipers on board?,Astronaut,A person is a member of the crew of a mission.,What person is a member of a crew of a mission?,What is the relation between a person and a mission?,What mission is a person a member of the crew of?,Astronaut
1673,André Kuipers is a member of the crew of the Soyuz TMA-03M.,Who is a member of the crew of the Soyuz TMA-03M?,What is André Kuipers' job title?,What is André Kuipers on board?,Astronaut,is a member of the crew of the Soyuz TMA-03M.,Who is a member of the crew of the Soyuz TMA-03M?,What is the relationship between an astronaut and Soyuz TMA-03M? ,Where is an astronaut a crew member?,Astronaut
1674,Charles Bassett is a member of the United States Air Force.,Who is a member of the United States Air Force?,What branch of the US military is Charles Bassett a member of?,What is Charles Bassett a member of?,Astronaut,A person is a member of an army.,What person is a member of an army?,What is the relation between a person and an army?,What army is a person a member of?,Astronaut
1675,Charles Bassett is a member of the United States Air Force.,Who is a member of the United States Air Force?,What branch of the US military is Charles Bassett a member of?,What is Charles Bassett a member of?,Astronaut,An astronaut is a member of the armed forces.,Whose is a member of the armed forces?,What is the relationship between an astronaut and the arm forces.,Where is an astronaut a member?,Astronaut
1676,Soichi Noguchi is part of NASA Astronaut Group 16.,Who is a member of NASA Astronaut Group 16?,What is Soichi Noguchi's job title?,What group is Soichi Noguchi a part of?,Astronaut,A person is part of a group.,What person is part of a group?,What is the relation between a person and a group?,What group is a person a part of?,Astronaut
1677,Soichi Noguchi is part of NASA Astronaut Group 16.,Who is a member of NASA Astronaut Group 16?,What is Soichi Noguchi's job title?,What group is Soichi Noguchi a part of?,Astronaut,An astronaut is part of a list article.,Who is part of a list article?,What is the relationship between an astronaut and a list article?,Where is an astronaut part?,Astronaut
1678,"Christa McAuliffe speaks, writes or signed English.","Who speaks, writes or signs English?",,What language does Christa McAuliffe speak?,Astronaut,"A person speaks, writes or signs a language.","What person speaks, writes or signs a language?",What is the relation between a person and a language?,"What language does a person speak, write or sign?",Astronaut
1679,"Christa McAuliffe speaks, writes or signed English.","Who speaks, writes or signs English?",,What language does Christa McAuliffe speak?,Astronaut,"An astronaut speaks, writes or signs in a Germanic language.","Who speaks, writes or signs in a Germanic language?",What is the relationship between an astronaut and a Germanic Language?,"In which language does an astronaut speak, write or sign?",Astronaut
1680,Aleksandr Samokutyayev is a colonel.,Who is a colonel?,What is Samokutyayev's rank?,What is Aleksandr Samokutyayev's occupation?,Astronaut,A person has a military rank.,What person has a military rank?,What is the relation between a person and a military rank?,What military rank does a person have?,Astronaut
1681,Aleksandr Samokutyayev is a colonel.,Who is a colonel?,What is Samokutyayev's rank?,What is Aleksandr Samokutyayev's occupation?,Astronaut,A cosmonaut is militarian.,Who is a militarian?,What is the relationship between a cosmonaut and a militarian?,What is a cosmonaut?,Astronaut
1682,Stucky is the family name of Mark P. Stucky.,What is the family name of Mark P. Stucky?,What is Stucky?,What is the family name of Mark P. Stucky?,Astronaut,A name is the family name of a person.,What person's family name is a name?,What is the relation between a person and a name?,What is the family name of a person?,Astronaut
1683,Stucky is the family name of Mark P. Stucky.,What is the family name of Mark P. Stucky?,What is Stucky?,What is the family name of Mark P. Stucky?,Astronaut,An astronauts's family name is Stucky.,Whose name is Stucky?,What is the relationship between an astronaut and Stucky?,What is an astronaut's family name?,Astronaut
1684,Harrison Schmitt worked for NASA.,Who worked for NASA?,What was Harrison Schmitt's job title?,What NASA agency did Harrison Schmitt work for?,Astronaut,A person worked for an agency.,What person worked for an agency?,What is the relation between a person and an agency?,What agency did a person work for?,Astronaut
1685,Harrison Schmitt worked for NASA.,Who worked for NASA?,What was Harrison Schmitt's job title?,What NASA agency did Harrison Schmitt work for?,Astronaut,An astronaut worked for a governmental agency.,Who is working for a governmental agency?,What is the relationship between an astronaut and a governmental agency?,For whom an astronaut worked?,Astronaut
1686,Pete Conrad spent 70778 minutes in space.,Who spent 70778 minutes in space?,How long did Pete Conrad spend in space?,How long did Pete Conrad spend in space?,Astronaut,A person spent a number of minutes in space.,What person spent a number of minutes in space?,What is the relation between a person and a number of minutes in space?,How many minutes in space did a person spent?,Astronaut
1687,Pete Conrad spent 70778 minutes in space.,Who spent 70778 minutes in space?,How long did Pete Conrad spend in space?,How long did Pete Conrad spend in space?,Astronaut,An astronaut spent a few minutes in space.,Who spent a few minutes in space? ,What is the relationship between an astronaut and minutes in space?,What spent an astronaut in space?,Astronaut
